fip_code,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown
10001,2020-03-18,2020-03-18,2020-03-22,2020-03-22,2020-03-23,2020-03-16,2020-03-24,,2020-03-24,,
10003,2020-03-18,2020-03-18,2020-03-22,2020-03-22,2020-03-23,2020-03-16,2020-03-24,,2020-03-24,,
10005,2020-03-18,2020-03-18,2020-03-22,2020-03-22,2020-03-23,2020-03-16,2020-03-24,,2020-03-24,,
11001,2020-03-13,2020-03-16,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-24,2020-03-13,2020-03-30,2020-03-24,
12001,2020-03-17,2020-03-17,2020-03-23,2020-03-23,2020-03-16,2020-03-17,2020-03-23,2020-03-20,2020-03-24,2020-03-23,
12011,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-03-23,2020-03-20,2020-04-03,,
12021,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12031,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12033,2020-03-16,2020-03-16,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-17,2020-04-03,,
12057,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-17,2020-03-20,2020-03-27,2020-03-20,2020-03-27,2020-03-20,
12069,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-17,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12071,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12081,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12086,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-17,2020-03-20,2020-03-12,2020-03-20,2020-04-03,,
12095,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-03-26,2020-03-20,2020-03-26,,
12097,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-03-26,2020-03-20,2020-03-26,,
12099,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,2020-03-20,2020-03-20,2020-03-20,2020-04-03,,
12101,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-17,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12103,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-16,2020-03-20,2020-03-26,2020-03-20,2020-03-26,,
12105,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12109,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12115,2020-03-12,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12117,2020-03-30,2020-03-30,2020-03-30,2020-03-30,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
12127,2020-04-03,2020-04-03,2020-04-03,2020-04-03,2020-03-16,2020-03-20,2020-04-03,2020-03-20,2020-04-03,,
13015,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-18,2020-03-20,2020-03-13,2020-03-24,2020-04-03,,
13045,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-22,2020-03-17,2020-03-23,2020-03-25,,
13057,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-24,2020-04-03,2020-03-24,2020-03-25,,
13063,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-24,2020-04-01,2020-03-24,2020-04-01,2020-04-01,
13067,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-24,2020-04-03,2020-03-16,2020-03-25,,
13089,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-28,2020-03-23,2020-03-28,,
13095,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-23,2020-03-14,2020-03-23,,
13097,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-18,2020-03-23,2020-03-25,2020-03-23,2020-03-25,2020-03-23,
13121,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-13,2020-03-24,2020-03-31,2020-03-24,2020-03-31,,
13135,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-16,2020-03-23,2020-03-23,2020-03-23,2020-03-23,,
13139,2020-03-24,2020-03-24,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-20,2020-03-19,2020-03-27,2020-03-16,
13151,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-17,2020-03-17,2020-03-17,2020-03-17,
13177,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-16,,,2020-03-24,,,
15003,2020-03-15,2020-03-15,2020-03-17,2020-03-17,2020-03-16,2020-03-17,2020-03-23,2020-03-17,2020-03-23,2020-03-17,
16001,2020-03-12,2020-03-25,2020-03-25,2020-03-25,2020-03-23,,,2020-03-25,2020-03-25,2020-03-25,
16013,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-23,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-25,
16027,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-23,2020-03-25,2020-03-25,2020-03-25,2020-03-25,2020-03-25,
17031,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17043,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17089,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17097,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17111,,,,,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17163,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
17197,2020-03-16,2020-03-16,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-21,2020-03-13,2020-03-21,2020-03-16,
18057,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-03-23,2020-03-23,
18063,2020-03-16,2020-03-16,2020-03-24,2020-03-24,2020-03-16,2020-03-16,2020-03-23,2020-03-24,2020-03-23,,
