approxDays,Urban,Frac65Plus,PopDensity,gathering_size_500_to_101,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_10_0,school_closure,closing_of_public_venues,non-essential_services_closure,social_distancing,shelter_in_place,religious_gatherings_banned,lockdown,flights_prev_week,avg_temp_prev_week,casesPer1M
1,9,0.117990936,1.291446782,0,0,0,0,0,0,0,0,0,0,0,221,-10.48111184,1.356046203
1,1,0.144177678,3614.024947,0,0,0,0,0,0,0,0,0,0,0,0,-0.202136153,1.817487868
1,1,0.170531163,2247.182348,0,0,0,0,0,0,0,0,0,0,0,560,3.902839774,1.033472094
1,5,0.136582062,50.96993617,0,0,0,0,0,0,0,0,0,0,0,11,4.011824215,64.50156416
1,1,0.117539344,4674.03387,0,0,0,0,0,0,0,0,0,0,0,11,4.011824215,2.791377992
1,1,0.126072884,2407.32382,0,0,0,0,0,0,0,0,0,0,0,1,4.447181307,1.047482376
1,6,0.206215014,43.39156173,0,0,0,0,0,0,0,0,0,0,0,0,4.816832449,0.747158556
1,5,0.206780567,52.54945569,0,0,0,0,0,0,0,0,0,0,0,0,5.043267644,11.13759383
1,1,0.146350357,5482.409279,0,0,0,0,0,0,0,0,0,0,0,253,5.134425604,0.772127286
1,6,0.229070192,52.78697948,0,0,0,0,0,0,0,0,0,0,0,0,5.289920635,28.06544863
1,9,0.15345419,11.01644323,0,0,0,0,0,0,0,0,0,0,0,0,5.807055268,1.315656177
1,6,0.171730552,176.5877616,0,0,0,0,0,0,0,0,0,0,0,0,5.828565378,0.200081733
1,6,0.241575006,70.66703418,0,0,0,0,0,0,0,0,0,0,0,79,5.9735326,19.50230127
1,1,0.163978461,3072.387999,0,0,0,0,0,0,0,0,0,0,0,79,5.9735326,1.770691862
1,6,0.169512595,107.325873,0,0,0,0,0,0,0,0,0,0,0,1,6.137575506,0.516034215
1,1,0.134701025,390.5543382,0,0,0,0,0,0,0,0,0,0,0,115,6.316504334,1.227142929
1,7,0.165083766,5.95060999,0,0,0,0,0,0,0,0,0,0,0,0,6.432902624,1.730891392
1,2,0.100414258,1176.041998,0,0,0,0,0,0,0,0,0,0,0,0,6.502948295,2.84322729
1,1,0.168534197,1780.801652,0,0,0,0,0,0,0,0,0,0,0,123,7.740209021,1.417659501
1,2,0.158841223,1510.194122,0,0,0,0,0,0,0,0,0,0,0,0,7.841702742,2.119041388
1,6,0.158636832,21.2257879,0,0,0,0,0,0,0,0,0,0,0,0,7.935208505,0.570057827
1,8,0.187236246,7.298671829,0,0,0,0,0,0,0,0,0,0,0,0,8.186490827,0.941349236
1,1,0.152836732,1553.371788,0,0,0,0,0,0,0,0,0,0,0,0,8.251428571,4.716358217
1,2,0.130101609,1736.706177,0,0,0,0,0,0,0,0,0,0,0,0,8.321587927,1.764041773
